age,balance,housing,contact,duration,campaign,y
37,427,yes,unknown,371,3,no
33,483,yes,cellular,280,2,no
56,3391,no,cellular,243,1,yes
27,0,yes,cellular,435,3,no
21,2488,no,cellular,258,6,yes
58,1517,yes,telephone,7,5,no
32,217,yes,cellular,317,5,no
33,22,no,cellular,76,2,no
25,331,no,telephone,170,4,yes
25,505,no,cellular,386,2,yes
30,1808,yes,cellular,83,2,no
22,4111,no,cellular,65,1,no
39,52,no,cellular,69,1,no
46,25,no,unknown,564,2,no
31,1890,yes,cellular,588,1,no
45,419,no,cellular,113,4,no
32,2693,yes,unknown,16,1,no
36,-231,no,cellular,779,2,no
51,-55,yes,cellular,281,2,no
34,462,no,cellular,1877,3,yes
24,119,no,unknown,51,1,no
45,586,no,cellular,32,3,no
32,228,no,telephone,176,1,no
77,4659,no,cellular,161,1,yes
41,168,yes,cellular,187,3,no
37,0,yes,unknown,24,1,no
43,-715,yes,unknown,67,3,no
48,0,yes,cellular,85,1,no
27,769,yes,unknown,317,2,no
33,0,no,cellular,236,10,no
29,428,yes,cellular,54,1,no
34,0,no,cellular,71,1,no
52,-970,yes,cellular,489,1,yes
60,6313,no,unknown,39,2,no
32,948,no,cellular,204,2,no
32,0,yes,cellular,455,2,no
56,1877,yes,unknown,86,1,no
31,874,yes,cellular,190,2,no
42,323,yes,unknown,280,2,no
35,106,no,cellular,588,2,no
56,1906,no,unknown,45,9,no
48,1152,yes,cellular,168,5,no
46,179,yes,cellular,194,4,no
37,391,yes,unknown,103,3,no
41,89,yes,unknown,333,2,no
36,442,yes,cellular,102,3,no
45,-249,yes,unknown,92,1,no
55,8104,no,cellular,213,2,no
39,501,no,unknown,289,1,no
35,308,no,cellular,77,2,no
55,602,no,cellular,324,3,yes
55,273,yes,cellular,84,3,no
27,50,no,cellular,168,1,no
34,1641,yes,cellular,380,1,no
34,20,no,unknown,10,1,no
25,4590,yes,unknown,199,2,no
41,-256,no,unknown,35,3,no
43,978,yes,unknown,82,2,no
28,80,no,cellular,676,2,yes
31,2104,yes,unknown,455,1,no
78,499,no,telephone,80,4,no
45,1269,yes,cellular,549,2,no
48,310,no,unknown,135,1,no
32,1143,yes,cellular,412,1,no
42,2980,no,unknown,101,3,no
37,37,no,cellular,253,2,no
40,462,yes,cellular,272,1,no
32,1031,yes,cellular,84,1,no
42,9009,no,cellular,135,2,no
43,-465,yes,cellular,166,1,no
44,5181,yes,cellular,18,7,no
37,176,yes,cellular,147,2,no
37,1699,no,unknown,63,1,no
37,0,yes,cellular,65,2,no
28,172,yes,cellular,194,2,no
32,0,no,cellular,333,2,no
34,6979,yes,cellular,14,5,no
40,6,no,unknown,140,1,no
34,-62,yes,unknown,109,3,no
34,1972,yes,cellular,61,2,no
34,899,yes,telephone,377,3,no
37,21,yes,cellular,96,1,no
36,23,yes,cellular,152,2,no
56,-1206,yes,cellular,382,2,yes
49,0,yes,telephone,97,6,no
33,215,yes,cellular,543,12,no
30,1372,no,cellular,240,2,no
36,1981,no,unknown,48,2,no
23,9216,no,cellular,471,2,no
57,39,yes,cellular,354,3,no
27,5563,yes,unknown,435,2,no
38,1,no,cellular,152,2,no
42,782,no,cellular,285,1,no
75,3771,no,telephone,185,1,yes
34,992,yes,cellular,301,1,no
48,1526,no,cellular,273,2,no
35,2658,yes,cellular,768,2,yes
39,1315,yes,cellular,1337,4,no
29,455,no,telephone,403,1,yes
45,0,yes,cellular,139,2,no
42,2030,yes,cellular,196,1,no
29,1599,yes,cellular,115,1,no
38,-196,yes,cellular,60,1,no
56,1333,no,cellular,17,14,no
36,9149,yes,cellular,141,3,no
25,-350,yes,unknown,95,3,no
38,432,yes,cellular,10,2,no
57,11494,no,cellular,198,1,no
31,-253,no,cellular,220,4,no
42,372,yes,cellular,654,2,yes
45,1410,no,cellular,71,2,no
30,975,yes,cellular,256,2,no
49,305,yes,telephone,834,10,no
49,400,no,cellular,151,3,no
53,-22,yes,cellular,20,3,no
37,4030,yes,unknown,178,5,no
49,365,no,unknown,59,2,no
41,204,no,cellular,111,7,no
54,1691,yes,cellular,186,1,no
32,406,yes,unknown,227,1,no
33,-204,no,cellular,297,3,no
33,359,yes,cellular,210,1,no
36,123,yes,cellular,9,1,no
35,0,yes,cellular,112,1,no
52,142,no,cellular,112,6,no
40,3571,no,unknown,222,3,no
44,33,yes,cellular,195,3,no
45,0,yes,cellular,768,2,no
30,3096,no,cellular,123,1,no
48,20,no,cellular,145,3,no
33,3576,yes,cellular,124,1,no
57,206,yes,unknown,216,3,no
57,7082,no,unknown,69,3,no
51,1634,yes,cellular,168,4,no
34,1,yes,cellular,483,7,no
50,4012,no,cellular,690,3,no
44,3762,no,cellular,125,12,no
27,-247,yes,unknown,344,2,no
50,606,yes,unknown,673,2,no
36,0,yes,cellular,60,1,no
42,-189,yes,unknown,247,2,no
32,0,no,cellular,123,2,no
42,484,yes,cellular,144,2,no
43,0,no,cellular,9,2,no
31,395,yes,cellular,155,3,no
32,2349,no,cellular,134,5,no
55,410,no,cellular,221,2,no
58,3401,yes,cellular,84,3,no
46,222,no,cellular,71,2,no
55,989,yes,unknown,246,4,no
34,415,no,cellular,361,2,no
28,16,no,cellular,119,4,no
42,7190,yes,cellular,375,2,no
29,482,no,cellular,1097,3,yes
54,209,yes,cellular,97,1,no
32,0,no,cellular,181,2,no
39,5803,no,cellular,83,3,no
53,624,no,cellular,180,4,no
58,883,no,cellular,543,1,no
40,1516,yes,unknown,373,1,no
29,872,yes,unknown,230,1,no
33,-988,yes,cellular,83,3,no
38,902,yes,telephone,58,13,no
56,1007,no,cellular,88,6,no
40,0,yes,cellular,297,1,no
24,174,yes,cellular,487,1,yes
46,12186,no,unknown,29,3,no
35,524,yes,cellular,484,4,no
35,0,yes,cellular,262,4,no
34,4,yes,unknown,644,1,no
35,11219,no,cellular,699,2,no
38,0,no,cellular,247,2,no
50,5776,no,cellular,49,3,no
51,37,yes,cellular,341,1,no
59,593,no,unknown,64,2,no
32,1148,yes,cellular,121,1,no
37,3561,yes,unknown,98,1,no
42,63,no,unknown,88,6,no
40,260,no,unknown,197,6,no
28,2269,yes,unknown,331,1,no
47,1060,yes,unknown,83,3,no
27,-220,yes,unknown,138,2,no
41,49,yes,cellular,312,5,no
34,69,no,cellular,120,3,yes
50,4108,yes,cellular,526,2,yes
47,480,yes,unknown,211,2,no
53,4994,no,cellular,62,6,no
53,0,yes,cellular,135,5,no
47,3681,no,cellular,101,2,no
49,-701,yes,cellular,988,2,yes
29,451,no,cellular,451,1,no
45,-311,yes,unknown,1030,1,yes
38,593,yes,cellular,1484,24,yes
32,759,yes,cellular,317,5,yes
70,4531,no,cellular,445,1,no
65,1840,no,cellular,383,2,no
56,345,yes,telephone,605,1,no
35,1287,yes,cellular,330,2,no
56,353,no,cellular,171,2,no
56,205,no,cellular,442,2,no
49,687,yes,cellular,772,1,yes
38,1147,yes,unknown,249,5,no
35,4286,yes,unknown,357,1,no
38,605,no,cellular,147,2,no
49,8545,yes,cellular,199,7,no
55,559,no,cellular,271,2,no
43,2,yes,cellular,783,3,no
43,2,no,cellular,472,2,no
25,760,yes,cellular,223,3,yes
30,1317,yes,unknown,395,2,no
46,182,no,cellular,56,1,no
50,276,no,unknown,641,6,no
35,2971,no,cellular,429,4,yes
26,1064,no,unknown,113,1,no
45,1783,no,unknown,11,11,no
37,-67,no,cellular,157,1,no
60,179,no,cellular,79,4,no
38,1199,no,cellular,178,1,yes
47,214,yes,unknown,168,1,no
33,6699,no,cellular,425,1,no
51,1760,no,cellular,162,1,no
35,145,yes,cellular,799,2,yes
35,978,no,cellular,1370,3,yes
48,1150,yes,unknown,357,1,no
37,121,no,cellular,22,6,no
29,828,yes,cellular,215,3,no
34,244,yes,cellular,56,4,no
32,228,yes,cellular,1017,6,yes
30,424,no,cellular,298,4,yes
47,447,no,unknown,126,1,no
33,-195,no,unknown,9,1,no
33,1410,yes,cellular,8,1,no
63,1084,no,cellular,201,1,no
51,10924,no,cellular,106,2,no
41,832,yes,cellular,164,1,no
56,478,no,cellular,97,1,no
60,0,no,cellular,151,1,no
41,3950,yes,unknown,96,2,no
37,504,yes,cellular,555,1,no
36,219,yes,cellular,270,2,no
57,1602,no,cellular,339,3,no
55,2587,no,cellular,328,2,yes
44,0,yes,unknown,159,1,no
47,2303,yes,cellular,323,2,no
31,1660,yes,cellular,342,1,no
35,32,yes,cellular,180,1,no
39,278,no,cellular,60,3,no
50,4,no,cellular,223,1,no
29,318,yes,cellular,1434,2,no
30,209,yes,unknown,30,2,no
46,271,yes,unknown,134,4,no
27,3196,no,cellular,10,2,no
48,4099,no,cellular,397,2,yes
26,2572,yes,cellular,620,1,no
36,339,no,cellular,6,6,no
42,0,yes,cellular,209,2,no
50,395,yes,unknown,419,2,no
49,2039,yes,cellular,283,2,no
45,5450,no,cellular,188,2,no
23,780,no,cellular,267,1,no
38,0,yes,cellular,196,2,no
32,8436,yes,cellular,245,1,no
60,11262,no,cellular,323,1,yes
30,946,yes,cellular,1065,1,no
58,497,no,unknown,138,5,no
60,55,no,cellular,207,1,no
38,-140,no,unknown,456,3,no
51,-379,yes,cellular,261,1,no
42,-396,yes,cellular,80,1,no
30,0,yes,cellular,131,6,no
40,733,yes,unknown,94,7,no
37,393,yes,cellular,567,3,yes
53,7290,yes,unknown,153,1,no
27,468,yes,cellular,109,1,no
39,0,yes,cellular,53,1,no
39,3705,yes,unknown,77,1,no
59,9676,no,telephone,234,2,yes
37,1328,yes,telephone,121,2,no
41,8,yes,cellular,155,2,no
45,61,no,cellular,108,1,no
48,6613,no,unknown,159,3,no
48,302,yes,unknown,208,3,no
32,1005,no,cellular,215,1,no
35,109,yes,unknown,597,3,no
33,1240,yes,cellular,505,2,no
28,0,yes,unknown,380,4,no
64,2923,no,cellular,120,1,no
35,0,no,cellular,106,4,no
33,43,yes,cellular,332,2,no
41,288,yes,unknown,221,4,no
34,613,yes,cellular,80,1,no
37,6101,no,cellular,60,5,no
38,168,yes,telephone,212,3,no
39,7685,yes,cellular,493,3,no
35,4515,yes,cellular,98,2,no
28,517,no,cellular,681,1,yes
27,148,no,cellular,203,1,no
48,-285,no,cellular,157,1,no
50,887,no,unknown,287,1,no
45,3098,yes,cellular,159,2,no
41,744,yes,unknown,125,1,no
39,130,no,cellular,202,2,no
44,438,yes,telephone,37,3,no
54,0,no,cellular,161,1,yes
49,322,no,cellular,72,4,no
34,186,no,cellular,342,1,no
75,3810,yes,cellular,262,1,yes
42,0,no,cellular,325,2,no
53,4380,no,telephone,223,7,no
49,755,no,cellular,1212,4,yes
31,2070,no,cellular,319,2,no
45,999,no,cellular,182,2,no
39,167,yes,cellular,330,1,no
46,1322,yes,cellular,514,1,no
42,1076,yes,unknown,213,1,no
37,502,yes,cellular,551,1,no
26,1216,yes,cellular,472,2,no
37,876,yes,cellular,140,4,no
36,342,yes,unknown,142,1,no
29,950,yes,unknown,135,3,no
36,973,yes,unknown,293,1,no
26,3825,yes,unknown,107,1,no
32,2366,yes,unknown,127,2,no
40,542,yes,cellular,1816,1,no
53,995,no,cellular,200,3,no
29,20,yes,cellular,418,1,no
34,228,yes,cellular,387,4,no
43,130,no,cellular,156,1,no
56,217,no,cellular,121,2,no
55,0,no,unknown,108,2,no
31,259,yes,cellular,47,1,no
27,619,yes,cellular,16,5,no
36,644,yes,cellular,54,2,no
44,22,yes,cellular,265,2,no
37,4303,yes,unknown,168,1,no
30,239,yes,cellular,115,3,no
42,275,no,cellular,31,8,no
30,1221,yes,telephone,279,4,yes
62,816,no,cellular,28,2,no
24,1222,yes,cellular,369,1,no
31,2363,yes,unknown,247,1,no
66,2262,no,cellular,155,1,no
47,2,no,cellular,89,1,no
39,2,yes,cellular,180,1,no
35,4508,yes,cellular,854,1,yes
35,-402,yes,cellular,46,1,no
27,1577,yes,unknown,266,2,no
32,34,yes,cellular,321,2,no
44,795,no,cellular,99,24,no
42,117,yes,unknown,147,1,no
34,5462,no,cellular,430,1,yes
25,402,no,cellular,264,1,no
40,641,no,cellular,156,6,no
43,36,no,cellular,118,1,no
55,383,no,unknown,343,3,no
50,283,yes,cellular,226,3,no
45,0,no,unknown,5,1,no
35,3102,yes,cellular,138,1,no
32,889,yes,cellular,185,1,yes
59,0,no,telephone,722,1,no
34,-370,yes,unknown,748,1,no
39,-606,yes,unknown,142,1,no
40,10378,yes,cellular,523,3,no
36,1313,yes,unknown,8,10,no
40,8969,yes,cellular,153,1,no
55,-196,yes,unknown,210,2,no
38,15,yes,cellular,121,1,no
61,4608,no,cellular,212,1,yes
41,666,yes,unknown,253,3,no
57,452,yes,unknown,139,4,no
48,149,yes,unknown,71,1,no
77,7802,no,telephone,421,1,yes
35,1453,yes,unknown,199,1,no
54,1480,yes,unknown,108,1,no
37,715,yes,unknown,247,2,no
56,237,yes,telephone,236,4,no
40,694,yes,cellular,97,4,no
40,0,no,cellular,109,8,no
54,55,yes,cellular,112,2,no
55,136,yes,unknown,15,10,no
55,-404,yes,cellular,502,3,no
52,779,yes,unknown,30,3,no
55,1187,yes,unknown,193,2,no
33,641,yes,cellular,347,2,no
52,826,yes,unknown,468,2,no
33,991,yes,unknown,148,1,no
53,1796,no,telephone,295,1,yes
46,22,no,cellular,388,6,yes
44,244,yes,cellular,1735,4,yes
48,1328,yes,unknown,339,1,no
50,7317,yes,cellular,172,1,no
34,4943,yes,cellular,117,2,no
38,258,no,unknown,587,2,no
42,515,yes,cellular,501,2,no
32,12607,no,cellular,203,5,no
58,2,yes,telephone,282,9,no
31,13,no,cellular,110,5,no
19,103,no,cellular,104,2,yes
41,3872,no,cellular,231,1,no
31,296,yes,unknown,378,3,no
52,217,no,cellular,193,6,no
42,360,yes,unknown,110,5,no
41,428,yes,cellular,92,1,no
30,315,no,cellular,1407,1,yes
38,121,yes,cellular,168,1,no
32,820,yes,cellular,738,3,no
52,195,yes,cellular,220,1,yes
48,108,yes,unknown,89,2,no
36,-381,yes,cellular,30,29,no
45,757,no,cellular,103,1,no
34,691,yes,unknown,70,1,no
36,1925,yes,cellular,904,2,yes
34,902,yes,cellular,159,1,no
61,5207,no,cellular,336,1,no
54,0,no,unknown,220,1,no
50,665,no,telephone,238,1,no
43,738,yes,cellular,585,4,no
47,233,no,cellular,293,3,no
45,-839,yes,unknown,68,1,no
57,5799,no,unknown,97,1,no
27,1033,yes,unknown,1713,1,no
49,66,no,cellular,218,3,no
43,2567,yes,cellular,109,1,no
40,1584,yes,telephone,661,1,no
32,182,yes,cellular,145,1,no
58,76,yes,telephone,54,4,no
34,663,yes,cellular,111,1,no
46,3455,yes,unknown,566,2,no
29,15,no,cellular,136,1,no
52,1054,no,cellular,273,1,no
45,1529,no,cellular,160,1,no
26,63,no,cellular,76,4,no
40,0,no,cellular,44,1,no
41,920,yes,unknown,239,1,no
47,3696,no,cellular,250,2,yes
27,59,no,cellular,792,4,no
27,0,yes,cellular,198,13,no
48,157,yes,unknown,73,1,no
49,2465,no,cellular,157,3,no
35,0,yes,cellular,90,6,no
47,2,no,cellular,236,2,no
54,0,no,cellular,118,5,no
39,12437,no,telephone,40,1,no
28,378,yes,cellular,346,1,no
54,211,no,unknown,200,2,no
34,-228,yes,cellular,187,3,no
63,2747,no,cellular,113,1,no
42,1932,yes,unknown,192,32,no
43,11269,no,unknown,92,1,no
37,1314,yes,cellular,682,2,no
55,2275,no,cellular,139,9,no
43,1304,no,cellular,501,2,yes
41,720,no,cellular,651,1,yes
47,2914,yes,cellular,405,13,no
34,1464,yes,unknown,350,1,no
28,11555,no,cellular,125,2,no
36,-302,yes,cellular,36,2,no
50,2497,yes,cellular,35,1,no
35,-339,yes,unknown,389,2,no
40,56,yes,cellular,194,1,no
26,211,no,cellular,168,3,no
36,3611,yes,unknown,347,3,no
59,0,no,cellular,3025,2,no
28,459,no,cellular,83,13,no
46,242,yes,unknown,332,2,no
50,1138,no,cellular,219,10,no
53,1319,yes,cellular,427,1,no
81,1,no,cellular,65,5,no
35,67,yes,cellular,192,2,no
58,937,no,cellular,155,1,no
44,0,yes,cellular,161,1,no
38,-558,yes,cellular,533,1,no
49,171,no,cellular,19,3,no
33,696,no,cellular,193,1,no
29,361,yes,cellular,819,3,no
28,227,no,cellular,278,1,yes
31,236,yes,telephone,211,3,no
33,-53,no,cellular,617,2,no
52,192,yes,cellular,61,2,no
43,38,yes,cellular,197,6,no
32,518,yes,cellular,34,7,no
36,16,yes,cellular,95,4,no
41,-256,yes,unknown,147,2,no
43,105,no,cellular,668,2,no
45,334,no,unknown,87,2,no
39,1048,no,cellular,405,1,no
41,108,yes,unknown,83,7,no
31,660,no,cellular,115,1,no
37,0,yes,cellular,108,1,no
28,1034,no,cellular,113,1,no
47,201,yes,cellular,58,2,no
37,189,no,cellular,148,4,no
60,-49,yes,cellular,188,1,no
43,1413,yes,telephone,75,3,no
58,264,yes,cellular,523,3,no
52,54,yes,telephone,103,1,no
50,12519,yes,cellular,146,2,no
32,2881,no,cellular,356,1,yes
42,0,yes,cellular,71,1,no
31,88,yes,cellular,189,2,no
28,1020,yes,unknown,251,1,no
36,119,no,cellular,127,8,no
51,1594,no,telephone,197,1,no
46,342,yes,cellular,84,1,no
50,72,no,unknown,141,2,no
32,14,yes,unknown,171,1,no
26,81,no,cellular,262,3,no
41,231,no,cellular,352,2,yes
39,1161,yes,cellular,236,1,no
31,-45,yes,unknown,184,1,no
28,231,yes,cellular,568,2,no
31,36,no,cellular,105,2,no
30,1570,yes,cellular,260,1,no
35,7050,no,cellular,222,3,yes
33,3704,yes,unknown,447,2,no
30,6619,yes,cellular,239,8,no
32,-84,yes,cellular,426,1,no
40,1509,no,cellular,333,1,no
31,1134,no,cellular,174,2,no
36,146,yes,unknown,284,2,no
33,9449,yes,cellular,428,1,no
57,374,yes,cellular,236,1,no
45,88,no,cellular,150,2,no
59,2764,no,cellular,237,1,no
30,2,yes,cellular,1031,8,yes
33,8023,no,cellular,107,1,no
52,289,yes,unknown,45,13,no
83,0,no,cellular,140,10,no
58,1382,no,unknown,700,1,yes
33,280,no,cellular,155,1,no
41,2195,yes,unknown,211,5,no
31,33,no,cellular,165,4,no
35,275,no,cellular,144,5,no
27,703,yes,unknown,590,3,yes
57,887,no,unknown,43,8,no
56,0,no,unknown,471,2,no
53,1178,yes,unknown,295,2,no
39,2763,yes,unknown,526,2,yes
32,890,yes,cellular,27,10,no
46,548,no,cellular,1181,4,yes
56,272,no,cellular,103,2,no
46,6269,yes,telephone,249,3,no
29,178,yes,cellular,231,4,no
60,252,yes,cellular,123,2,no
33,23663,yes,cellular,199,2,no
27,81,no,cellular,197,1,no
50,59,yes,unknown,67,2,no
45,1343,no,cellular,220,1,no
58,225,no,cellular,122,6,no
59,0,yes,unknown,104,7,no
58,2538,yes,cellular,307,6,no
64,43,no,cellular,117,1,no
47,57,no,cellular,253,1,no
40,-117,yes,cellular,770,2,no
36,666,yes,cellular,190,1,no
28,0,yes,cellular,767,5,yes
38,25,yes,cellular,232,2,yes
53,1034,yes,cellular,854,2,no
46,324,yes,unknown,293,6,no
54,0,no,telephone,986,1,no
32,0,no,cellular,66,1,no
55,621,no,cellular,114,1,no
55,138,no,cellular,205,1,no
56,4063,no,telephone,31,4,no
40,11084,no,unknown,113,1,no
44,310,yes,cellular,200,1,no
32,73,yes,cellular,158,1,no
33,1808,yes,unknown,99,4,no
41,1281,no,cellular,45,3,no
37,64,yes,cellular,239,4,no
58,2,yes,telephone,168,3,no
52,60,no,cellular,196,2,no
49,133,no,unknown,319,6,no
44,3706,no,unknown,209,3,no
28,174,no,cellular,184,1,no
31,251,no,cellular,156,2,no
37,4153,yes,cellular,35,16,no
30,985,yes,cellular,88,2,no
28,168,no,cellular,347,3,yes
46,1550,yes,cellular,126,2,no
47,7708,yes,cellular,157,5,no
35,-12,yes,unknown,212,5,no
80,6483,no,telephone,123,1,no
30,60,yes,unknown,306,5,no
55,3339,yes,unknown,63,1,no
22,1161,no,cellular,119,1,no
33,599,yes,unknown,29,1,no
53,28,no,cellular,117,2,no
49,1430,no,cellular,231,2,no
51,35,no,cellular,123,4,no
41,6000,yes,cellular,265,1,no
34,0,yes,cellular,144,1,no
36,340,no,unknown,559,3,no
35,0,no,cellular,74,1,no
29,3,yes,cellular,183,1,no
40,445,yes,cellular,631,1,no
32,874,no,cellular,1282,6,yes
48,705,no,unknown,108,2,no
59,1033,no,unknown,1199,1,yes
35,1354,yes,unknown,736,2,yes
33,123,no,cellular,264,1,no
55,8894,no,unknown,262,1,no
41,429,yes,unknown,244,1,no
42,14752,no,unknown,107,2,no
46,67,no,unknown,9,1,no
35,39,no,cellular,149,2,no
28,102,no,cellular,321,2,no
25,1790,no,cellular,224,1,no
56,15311,no,cellular,157,6,no
30,-635,no,cellular,250,1,no
45,115,no,cellular,209,4,no
40,10786,no,unknown,111,3,no
40,498,yes,cellular,55,2,no
39,1045,yes,cellular,290,13,no
48,810,no,unknown,383,1,no
31,-162,yes,cellular,380,1,no
32,55,no,cellular,124,3,no
34,586,yes,unknown,224,2,no
26,455,no,cellular,240,1,no
31,1010,yes,cellular,385,3,no
37,509,yes,cellular,133,1,no
29,2929,no,cellular,91,1,no
57,3071,yes,cellular,63,3,no
47,153,yes,cellular,192,2,no
38,1146,yes,unknown,91,2,no
48,1092,no,cellular,79,1,no
50,3463,no,cellular,96,1,yes
33,1158,yes,cellular,25,2,no
28,26,yes,cellular,227,2,no
30,566,no,cellular,110,1,no
52,204,no,cellular,134,2,no
36,480,no,cellular,213,1,yes
36,1855,yes,cellular,75,1,no
46,1034,no,cellular,109,2,no
57,3250,no,cellular,162,3,no
28,1633,no,cellular,275,1,yes
46,0,yes,cellular,154,1,no
55,3334,no,cellular,632,4,yes
33,4020,yes,cellular,251,1,no
53,66,no,telephone,141,1,no
41,-41,yes,cellular,154,1,no
60,322,yes,cellular,63,1,no
35,2643,no,cellular,259,1,no
43,49,yes,unknown,100,1,no
57,1,no,unknown,17,10,no
46,3098,yes,telephone,192,9,no
31,352,yes,unknown,97,9,no
53,65,no,cellular,41,2,no
35,1949,yes,unknown,200,3,no
32,739,yes,cellular,91,3,no
48,1167,yes,cellular,264,1,yes
50,231,yes,cellular,397,2,no
40,1136,yes,unknown,86,1,no
42,233,no,cellular,446,1,no
59,817,no,cellular,304,1,no
27,1128,yes,unknown,88,4,no
32,1831,yes,cellular,86,2,no
35,450,yes,cellular,63,1,no
28,0,yes,cellular,335,2,no
37,414,no,cellular,293,2,no
57,1052,yes,unknown,227,4,no
42,1022,yes,unknown,146,2,no
55,343,yes,cellular,276,3,no
52,1944,yes,cellular,238,3,no
26,-32,yes,cellular,14,6,no
52,1781,yes,unknown,144,2,no
26,350,no,cellular,367,1,no
33,2,yes,cellular,132,1,no
24,111,yes,unknown,42,4,no
37,168,yes,unknown,227,1,no
28,3,no,telephone,40,8,no
30,102,yes,unknown,614,2,no
33,0,yes,unknown,270,1,no
55,159,no,unknown,15,1,no
33,1134,yes,unknown,304,2,no
42,352,yes,cellular,79,3,no
37,865,yes,cellular,101,1,no
59,179,yes,unknown,55,3,no
27,5,yes,unknown,205,3,no
23,-230,yes,cellular,259,2,no
51,0,no,cellular,60,2,no
50,3924,yes,cellular,122,2,no
43,764,yes,cellular,557,5,no
37,511,yes,telephone,42,1,no
34,4348,yes,cellular,373,8,no
41,3016,yes,cellular,80,3,no
26,279,no,cellular,239,3,no
49,1405,no,unknown,29,1,no
29,908,yes,unknown,1663,1,yes
30,162,yes,unknown,186,4,no
38,792,no,unknown,430,1,no
58,111,no,telephone,58,2,no
34,1281,no,cellular,279,1,no
53,1012,yes,cellular,332,2,no
50,2881,no,cellular,510,2,no
30,445,yes,cellular,218,1,no
40,643,yes,cellular,74,2,no
57,254,no,cellular,676,1,no
40,-1212,yes,cellular,1259,2,no
41,2125,yes,cellular,285,3,no
53,629,yes,cellular,298,1,no
48,-202,yes,cellular,225,4,no
32,271,yes,cellular,80,2,no
34,703,yes,cellular,342,1,yes
46,-216,yes,cellular,404,3,no
45,88,no,cellular,332,1,no
51,16,yes,cellular,158,1,no
31,466,yes,cellular,164,1,no
47,-75,yes,cellular,57,1,no
32,456,no,cellular,121,1,no
41,77,yes,cellular,56,1,no
37,-244,no,unknown,178,1,no
27,1209,no,cellular,283,1,no
27,58,yes,cellular,113,1,no
50,421,no,cellular,22,5,no
